year,month,day,hour,minute,dow,dep_delay,carrier,carrier_name,tailnum,flight,dest,air_time,distance,wind_dir,wind_speed,wind_gust,visib,plane_year,plane_type,plane_manufacturer,plane_model,plane_engines,plane_seats,plane_engine,dest_name,dest_lat,dest_lon,dest_alt,dest_tz,dest_dst,dest_tzone
2022,8,20,8,0,Sat,-7,YX,Republic Airline,N646RW,251,ORD,64,334,10,5.7539,6.621473041999999,10,2005,Fixed wing multi engine,EMBRAER,ERJ 170-100 SE,2,70,Turbo-fan,Chicago O'Hare International Airport,41.9786,-87.9048,672,-6,A,America/Chicago
2022,2,27,11,40,Sun,89,OO,SkyWest Airlines Inc.,N809SK,333,BNA,92,695,0,0,0,10,2006,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,Nashville International Airport,36.1245002746582,-86.6781997680664,599,-6,A,America/Chicago
2022,5,7,21,25,Sat,-4,DL,Delta Air Lines Inc.,N339DN,140,SAN,219,1532,140,19.56326,22.5130083428,10,2018,Fixed wing multi engine,AIRBUS,A321-211,2,199,Turbo-fan,San Diego International Airport,32.7336006165,-117.190002441,17,-8,A,America/Los_Angeles
2022,7,8,8,56,Fri,-5,9E,Endeavor Air Inc.,N8847A,466,FSD,33,196,320,5.7539,6.621473041999999,8,2003,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,Turbo-fan,Joe Foss Field Airport,43.5820007324,-96.741897583,1429,-6,A,America/Chicago
2022,11,16,19,54,Wed,32,OO,SkyWest Airlines Inc.,N607CZ,520,PIT,97,726,310,11.5078,13.242946083999998,9,2007,Fixed wing multi engine,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,Turbo-fan,Pittsburgh International Airport,40.49150085,-80.23290253,1203,-5,A,America/New_York
2022,4,4,16,35,Mon,58,OO,SkyWest Airlines Inc.,N837SK,312,STL,65,448,330,11.5078,13.242946083999998,10,2019,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,St Louis Lambert International Airport,38.748697,-90.370003,618,-6,A,America/Chicago
2022,7,9,7,0,Sat,-4,DL,Delta Air Lines Inc.,N370NB,181,BNA,106,695,120,5.7539,6.621473041999999,10,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,Turbo-fan,Nashville International Airport,36.1245002746582,-86.6781997680664,599,-6,A,America/Chicago
2022,9,29,6,47,Thu,-4,B6,JetBlue Airways,N375JB,22,JFK,133,1029,170,8.05546,9.2700622588,10,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,Turbo-fan,John F Kennedy International Airport,40.63980103,-73.77890015,13,-5,A,America/New_York
2022,6,24,19,45,Fri,-2,DL,Delta Air Lines Inc.,N352NB,200,DFW,114,852,150,12.658579999999999,14.567240692399997,10,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,Turbo-fan,Dallas Fort Worth International Airport,32.896801,-97.038002,607,-6,A,America/Chicago
2022,4,4,18,20,Mon,-8,DL,Delta Air Lines Inc.,N590NW,133,PHX,169,1276,320,5.7539,6.621473041999999,10,2003,Fixed wing multi engine,BOEING,757-351,2,275,Turbo-fan,Phoenix Sky Harbor International Airport,33.43429946899414,-112.01200103759766,1135,-7,N,America/Phoenix
2022,10,24,20,11,Mon,63,DL,Delta Air Lines Inc.,N374DX,276,IND,90,503,230,11.5078,13.242946083999998,10,2019,Fixed wing multi engine,AIRBUS,A321-211,2,199,Turbo-fan,Indianapolis International Airport,39.7173,-86.294403,797,-5,A,America/New_York
2022,5,10,7,55,Tue,-6,DL,Delta Air Lines Inc.,N351NB,123,DFW,117,852,290,2.30156,2.6485892167999996,10,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,Turbo-fan,Dallas Fort Worth International Airport,32.896801,-97.038002,607,-6,A,America/Chicago
2022,10,1,18,5,Sat,6,OO,SkyWest Airlines Inc.,N250SY,334,OMA,51,282,120,10.357019999999999,11.918651475599997,10,2016,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,Turbo-fan,Eppley Airfield,41.3032,-95.894096,984,-6,A,America/Chicago
2022,4,13,21,12,Wed,-9,DL,Delta Air Lines Inc.,N324NB,116,AUS,146,1042,270,19.56326,22.5130083428,10,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,Turbo-fan,Austin Bergstrom International Airport,30.194499969482425,-97.6698989868164,542,-6,A,America/Chicago
2022,2,10,10,44,Thu,-2,DL,Delta Air Lines Inc.,N970AT,120,EWR,126,1008,290,9.20624,10.594356867199998,10,2001,Fixed wing multi engine,BOEING,717-200,2,100,Turbo-fan,Newark Liberty International Airport,40.692501068115234,-74.168701171875,18,-5,A,America/New_York
2022,8,9,5,45,Tue,-5,UA,United Air Lines Inc.,N32404,115,IAH,141,1034,210,2.30156,2.6485892167999996,10,2001,Fixed wing multi engine,BOEING,737-924,2,191,Turbo-fan,George Bush Intercontinental Houston Airport,29.984399795532227,-95.341400146484375,97,-6,A,America/Chicago
